,Year,Laureate_Id_x,Firstname_x,Lastname_x,Category,Prize_Share,Motivation,Name_key,Laureate_Id_y,Firstname_y,Lastname_y,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
0,1901,1,Wilhelm Conrad,Röntgen,physics,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",Wilhelm Conrad Röntgen,1,Wilhelm Conrad,Röntgen,male,1845-03-27,Prussia (now Germany),Lennep (now Remscheid),DE,10/02/1923,Germany,Munich,DE,Munich University,Munich,Germany
1,1901,293,Emil,von Behring,medicine,1,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",Emil von Behring,293,Emil,von Behring,male,1854-03-15,Prussia (now Poland),Hansdorf (now Lawice),PL,31/03/1917,Germany,Marburg,DE,Marburg University,Marburg,Germany
2,1901,462,Henry,Dunant,peace,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",Henry Dunant,462,Henry,Dunant,male,1828-05-08,Switzerland,Geneva,CH,30/10/1910,Switzerland,Heiden,CH,,,
3,1901,463,Frédéric,Passy,peace,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",Frédéric Passy,463,Frédéric,Passy,male,1822-05-20,France,Paris,FR,12/06/1912,France,Paris,FR,,,
4,1901,569,Sully,Prudhomme,literature,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",Sully Prudhomme,569,Sully,Prudhomme,male,1839-03-16,France,Paris,FR,07/09/1907,France,Châtenay,FR,,,
5,1901,160,Jacobus H.,van 't Hoff,chemistry,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",Jacobus H. van 't Hoff,160,Jacobus H.,van 't Hoff,male,1852-08-30,the Netherlands,Rotterdam,NL,01/03/1911,Germany,Berlin,DE,Berlin University,Berlin,Germany
6,1902,161,Emil,Fischer,chemistry,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",Emil Fischer,161,Emil,Fischer,male,1852-10-09,Prussia (now Germany),Euskirchen,DE,15/07/1919,Germany,Berlin,DE,Berlin University,Berlin,Germany
7,1902,571,Theodor,Mommsen,literature,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",Theodor Mommsen,571,Theodor,Mommsen,male,1817-11-30,Schleswig (now Germany),Garding,DE,01/11/1903,Germany,Charlottenburg,DE,,,
8,1902,465,Albert,Gobat,peace,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",Albert Gobat,465,Albert,Gobat,male,1843-05-21,Switzerland,Tramelan,CH,16/03/1914,Switzerland,Bern,CH,,,
9,1902,464,Élie,Ducommun,peace,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",Élie Ducommun,464,Élie,Ducommun,male,1833-02-19,Switzerland,Geneva,CH,07/12/1906,Switzerland,Bern,CH,,,
10,1902,3,Pieter,Zeeman,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Pieter Zeeman,3,Pieter,Zeeman,male,1865-05-25,the Netherlands,Zonnemaire,NL,09/10/1943,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands
11,1902,294,Ronald,Ross,medicine,1,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",Ronald Ross,294,Ronald,Ross,male,1857-05-13,India,Almora,IN,16/09/1932,United Kingdom,Putney Heath,GB,University College,Liverpool,United Kingdom
12,1902,2,Hendrik A.,Lorentz,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Hendrik A. Lorentz,2,Hendrik A.,Lorentz,male,1853-07-18,the Netherlands,Arnhem,NL,04/02/1928,the Netherlands,,NL,Leiden University,Leiden,the Netherlands
13,1903,5,Pierre,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",Pierre Curie,5,Pierre,Curie,male,1859-05-15,France,Paris,FR,19/04/1906,France,Paris,FR,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France
14,1903,466,Randal,Cremer,peace,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",Randal Cremer,466,Randal,Cremer,male,1828-03-18,United Kingdom,Fareham,GB,22/07/1908,United Kingdom,London,GB,,,
